Score	SuperPath Name	# SuperPath Total Genes	# SuperPath Matched Genes	Matched Genes (Symbols)
15.42222495	ERK Signaling	1185	39	"ITGB4, CSF1R, PRG2, PIP5K1B, PRKAR2B, MYL11, AXL, UTS2, JUN, IL15RA, IL16, CX3CR1, GDF15, CXCL16, FYN, PLCD3, CXCR4, KLF10, TNF, NGFR, TYMP, GNAI1, TNFSF13B, CFL2, CCL2, CCL3, CACNA2D3, TP53, GNG4, GNG7, CACNB1, VEGFA, COL11A2, CCND1, ITGAL, ITGAM, CCR2, ITGB7, ATF3"
15.05080278	Integrin Family Cell Surface Interactions	95	9	"ITGB4, PIP5K1B, PLCD3, VEGFA, TLR1, TLR4, ITGAL, ITGAM, ITGB7"
14.93855714	Immune Response CCR3 Signaling in Eosinophils	146	11	"PIP5K1B, MYL11, FGR, NCF1, CYBB, ICAM1, GNAI1, CFL2, GNG4, GNG7, ITGAL"
14.90300021	Dendritic Cells Developmental Lineage Pathway	74	8	"CSF1R, CD1D, CX3CR1, CD83, TNF, SPIB, ITGAM, CD14"
14.76800616	Burn Wound Healing	75	8	"MYD88, CXCR4, TNF, ICAM1, CCL2, TP53, VEGFA, TLR4"
14.76800616	Acute Viral Myocarditis	75	8	"PTCRA, SGCG, FYN, CXCR4, AIF1, TLR4, CCND1, ITGAL"
14.72672665	ESR-mediated Signaling	299	16	"AKR1C3, ALDH8A1, H4C15, ARL4C, FKBP4, JUN, DHRS3, RDH5, GNAI1, GNG4, GNG7, S1PR3, CCND1, H2BC12, H2BC9, H3C13"
14.28195786	Naphthalene Metabolism	24	5	"AKR1C1, AKR1C2, AKR1C3, AKR1C4, CYP2E1"
14.12272117	Antiviral Mechanism By IFN-stimulated Genes	80	8	"USP18, MX1, OAS1, OAS3, OASL, IFIT1, ISG15, OAS2"
13.8516744	Signal Transduction	2591	67	"ARAP3, ST3GAL6, RHOBTB1, PIP5K1B, AKR1C3, PRKAR2B, NMUR1, MYD88, GPNMB, ALDH8A1, H4C15, PTCRA, ARL4C, AXL, UTS2, GPR183, FKBP4, JUN, TERT, CX3CR1, CXCL16, FYN, AMH, ADM2, ARTN, CXCR4, NCF1, CD86, FAM13B, TNF, TRIB3, PLD2, EPAS1, CYBB, DHRS3, NGFR, C3AR1, C5AR1, EPSTI1, RDH5, RNF31, DLL1, GNAI1, CCL2, CCL3, TP53, GNG4, GNG7, VEGFA, S100A8, FGD2, S1PR3, S1PR5, COL11A2, RGS16, ESRP1, CCND1, ETV4, EGR1, H2BC12, TAGAP, H2BC9, CCR2, IFT57, H3C13, WNT7B, GPR18"
13.73116115	TGF-Beta Pathway	653	25	"ITGB4, CSF1R, AXL, UTS2, JUN, IL15RA, IL16, GDF15, CXCR4, KLF10, TNF, NGFR, MAP1B, TYMP, TNFSF13B, CCL2, CCL3, TP53, GNG4, GNG7, IRF9, VEGFA, ITGAL, ITGAM, ITGB7"
13.64687935	Interleukin-4 and Interleukin-13 Signaling	108	9	"CD36, ALOX5, TNF, ICAM1, CCL2, TP53, VEGFA, CCND1, ITGAM"
13.59518103	CCR5 Pathway in Macrophages	320	16	"PRKAR2B, FGR, JUN, CX3CR1, CXCL16, CXCR4, NCF1, GNAI1, CCL2, CCL3, CACNA2D3, GNG4, GNG7, CACNB1, CCND1, CCR2"
13.5945361	Fibrin Complement Receptor 3 Signaling Pathway	43	6	"MYD88, TNF, CCL2, TLR4, ITGAM, CD14"
13.42340539	Metabolism	2118	57	"SMOX, ST3GAL6, CSAD, CSGALNACT1, GPC2, PIP5K1B, AKR1C1, AKR1C2, AKR1C3, AKR1C4, PRKAR2B, AASS, HSD11B1, PTGDS, CD36, LHPP, APOM, SLC37A2, B3GNT7, ALOX5, ALOX5AP, B4GALT4, DEGS2, GDPD1, PLCD3, HELZ2, MSMO1, CDA, SULT4A1, ADSS1, TRIB3, PARP14, CYB5A, PLD2, IL4I1, HILPDA, MTARC1, PARP9, KYAT1, CERS4, CA2, GLIPR1, TYMP, CYP2E1, MT-ND6, MOCOS, PDP2, NDUFAF5, GNAI1, LPCAT4, CYP4V2, GNG4, GNG7, CHAC1, SAMHD1, GNMT, G0S2"
13.34808262	Prolactin Signaling	432	19	"PRKAR2B, CD180, MYD88, OAS1, AXL, JUN, FYN, PLCD3, TNF, PARP14, FCGR2B, TP53, VEGFA, TLR1, TLR4, CCND1, ETV4, CD14, ATF3"
12.87962855	Hematopoietic Stem Cells and Lineage-specific Markers	116	9	"CD36, CX3CR1, CD83, CD86, TNF, MPO, ITGAL, ITGAM, CD14"
12.80299519	MIF Mediated Glucocorticoid Regulation	681	25	"CSF1R, AXL, FKBP4, JUN, IL15RA, IL16, CX3CR1, ALOX5, CXCL16, CXCR4, IL1RN, TNF, PLD2, NGFR, GNAI1, TNFSF13B, CCL2, CCL3, CACNA2D3, TP53, CACNB1, VEGFA, TLR4, CCR2, CD14"
12.22082424	Head and Neck Squamous Cell Carcinoma	73	7	"SESN2, DDIT4, TERT, TP53, VEGFA, CCND1, AJUBA"
11.84197685	Direct P53 Effectors	128	9	"DDIT4, JUN, POU4F2, GDF15, ZNF385A, TP53, TP53I3, NLRC4, ATF3"
11.76766221	Validated Transcriptional Targets of AP1 Family Members Fra1 and Fra2	35	5	"ITGB4, JUN, BGLAP, CCL2, CCND1"
11.75587126	Toll Comparative Pathway	102	8	"MYD88, JUN, TNF, TP53, GNG4, TLR4, CD14, ATF3"
11.69540725	NF-kB (NFkB) Pathway	55	6	"MYD88, FYN, TNF, TLR4, CD14, GBP2"
11.48077923	Antigen Processing-Cross Presentation	105	8	"MYD88, CD36, NCF1, CYBB, S100A8, TLR1, TLR4, CD14"
11.26709587	Colorectal Cancer Metastasis	165	10	"PRKAR2B, TNF, TP53, GNG4, GNG7, VEGFA, TLR1, TLR4, CCND1, WNT7B"
11.12550668	Macrophage Markers	9	3	"CD83, CD86, CD14"
10.95825206	Visual Phototransduction	111	8	"GPC2, AKR1C1, AKR1C3, AKR1C4, APOM, DHRS3, RDH5, CYP4V2"
10.793018	MiRNAs Involvement in The Immune Response in Sepsis	62	6	"MYD88, TNF, ICAM1, IRF7, CCL3, TLR4"
10.793018	Inhibitory Action of Lipoxins and Resolvin E1 on Neutrophil Functions	62	6	"JUN, NCF1, CYBB, GNAI1, GNG4, GNG7"
10.65356859	Phospholipase-C Pathway	503	19	"ITGB4, PRG2, UTS2, GDF15, FYN, PLCD3, KLF10, PLD2, NGFR, TYMP, FCGR2B, GNAI1, TP53, GNG4, GNG7, COL11A2, ITGAL, ITGAM, ITGB7"
10.6270222	GPCR Pathway	712	24	"ITGB4, CSF1R, PRKAR2B, AXL, UTS2, JUN, GDF15, FYN, PLCD3, CD86, KLF10, PLD2, NGFR, TYMP, CYP2E1, GNAI1, TP53, GNG4, GNG7, VEGFA, CCND1, ITGAL, ITGAM, ITGB7"
10.56762471	NF-KappaB Family Pathway	242	12	"PRKAR2B, MYD88, UTS2, GDF15, FYN, KLF10, TNF, NGFR, TYMP, TNFSF13B, TLR1, TLR4"
10.55660959	Ferroptosis	64	6	"AKR1C1, AKR1C2, AKR1C3, SLC7A11, CYBB, TP53"
10.5507914	IL1 and Megakaryocytes in Obesity	24	4	"MYD88, ICAM1, CCL2, TLR1"
10.29118127	Alternative Pathway of Fetal Androgen Synthesis	11	3	"AKR1C2, AKR1C4, CYB5A"
10.11197174	Apoptotic Pathways in Synovial Fibroblasts	731	24	"ITGB4, PIP5K1B, PRKAR2B, UTS2, JUN, TERT, GDF15, FYN, KLF10, TNF, PARP14, ANK1, NGFR, TYMP, GNAI1, CFL2, CACNA2D3, TP53, GNG4, GNG7, CACNB1, ITGAL, ITGAM, ITGB7"
10.01905838	Vitamin D Receptor Pathway	185	10	"LRRC25, SLC37A2, ALOX5, HILPDA, BGLAP, S100A8, CCND1, ITGAM, CD14, G0S2"
10.00139449	AP-1 Transcription Factor Network	69	6	"JUN, CCL2, TP53, CCND1, EGR1, ATF3"
9.931665485	MIF Action Through Endocytic Pathway	12	3	"JUN, TLR4, CD14"
9.925366246	Kynurenine Pathway and Links to Cell Senescence	27	4	"TNF, KYAT1, TP53, TLR4"
9.896011714	Chemokine Superfamily: Human/Mouse Ligand-Receptor Interactions	70	6	"CX3CR1, CXCL16, CXCR4, CCL2, CCL3, CCR2"
